Geneid,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_121_R11_S05#,PD_121_R13_S05#,PD_121_R15_S05#,PD_121_R5_S05#2,PD_121_R7_S05#2,PD_121_R9_S05#2,PD_122_R11_S05#,PD_122_R13_S05#,PD_122_R15_S05#,PD_122_R5_S05#2,PD_122_R7_S05#2,PD_122_R9_S05#2,PD_123_R11_S05#,PD_123_R13_S05#,PD_123_R5_S05#1,PD_123_R7_S05#1,PD_123_R9_S05#1
b0793,4.192457494,3.921699948,4.332745491,4.227787123,4.421930461,4.291972662,4.703486606,4.431948386,4.957375612,4.231792169,4.478631684,4.851227888,4.791501821,4.228986434,4.840508754,4.034257386,4.26322576,4.908292813,4.706105541,4.455324869,4.18069023,4.503719026,5.005476135
b0794,4.954074849,4.844125075,4.856426256,4.779270875,4.930445595,4.818697591,5.256433167,5.148754151,5.437771024,4.792103718,4.95660938,5.459805205,5.298324142,4.930971524,5.24361229,4.640301052,4.972099991,5.54448795,5.323272131,4.844003252,4.821362481,5.060055611,5.390137508
b0795,5.546758244,5.470333959,5.58327151,5.859782397,5.847602485,5.691895234,6.36872135,6.21727963,6.265359103,5.741004921,6.017773984,6.543657202,6.223552647,5.743106873,6.355668593,5.670933621,6.034181908,6.674956184,6.207364639,5.96566079,5.844425854,6.094197002,6.53413324
b0796,5.462975809,5.298755106,5.24992125,5.520289091,5.514350402,5.223731177,5.463460787,5.70216192,5.818190832,5.238887289,5.731892006,5.961649764,5.502357305,5.670387351,5.787851347,5.292859702,5.395610893,6.125395797,5.433607655,5.690716765,5.381481058,5.5524459,6.123647105
b0797,5.962460417,5.596748228,5.499259638,5.27388841,5.35176116,5.237693136,5.12452318,3.729769454,6.691381198,5.098766193,3.733777667,4.634980626,5.009736104,3.81647878,6.534486861,5.017453226,3.557277505,4.572539638,4.989216937,3.917429968,5.132412567,4.012194862,4.564559755
b0798,5.823288771,5.940719273,5.798367053,4.649079212,4.701417468,4.62337631,4.611863522,5.190672886,4.24465287,4.469778384,5.122346343,4.51518265,4.894415399,5.011642059,4.027351082,4.765592311,5.243444819,4.324869431,4.905852817,5.027942262,4.604006624,5.11976481,4.466537604
b0799,5.326023624,5.218250391,5.30901841,4.46072287,4.606174091,4.568254413,4.948814695,4.820939667,4.594859091,4.403330763,4.392671014,4.686602881,5.058060821,4.622414848,4.615043506,4.327609867,4.300902456,4.607371002,5.009708436,4.743161582,4.559708664,4.645700896,4.471684229
b0800,7.023073711,6.905688557,7.056353891,6.873497992,6.988610607,6.944648431,7.297757235,6.910687519,7.416890587,6.822879847,6.540750254,6.771307939,7.288804809,6.697386663,7.304408203,6.868287367,6.61607355,6.741905413,7.201902008,6.915785622,6.829869532,6.689762657,6.773543079
b0801,7.910685598,7.691820281,7.74078345,7.218536065,7.175715968,7.17522874,8.102653759,6.881317787,7.711392282,6.898729432,6.730109844,7.201616334,8.148842306,6.859008879,7.707219747,7.054503982,6.70552549,7.132307418,8.14407565,6.97886162,7.22953902,7.111159193,7.219584633
b0802,6.652999061,6.315520828,6.479404593,6.327176076,6.431298919,6.210299202,6.999351711,5.081832403,8.033192575,6.166306999,5.269232121,6.500742019,6.945561695,5.091771529,7.992233286,6.283303849,4.93604693,6.458423718,6.956481611,5.360278158,6.070656462,5.336963709,6.50480672
