,project,Strain Type,Strain Description,Short_genotype,Culture Type,Media version,Growth Rate (1/hr),mu_set
DDB3__PD-006_del-lsrR_Fed-batch_15h__3,DDB3,TF KO,Escherichia coli BW25113 del-lsrR,BW25113 del-lsrR,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-luxS_Batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-luxS,BW25113 del-luxS,Batch,1,max,none
DDB3__PD-009_del-luxS_Batch_6h__2,DDB3,TF KO,Escherichia coli BW25113 del-luxS,BW25113 del-luxS,Batch,1,max,none
DDB3__PD-009_del-luxS_Fed-batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-luxS,BW25113 del-luxS,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-luxS_Fed-batch_6h__2,DDB3,TF KO,Escherichia coli BW25113 del-luxS,BW25113 del-luxS,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-luxS_Fed-batch_15h__1,DDB3,TF KO,Escherichia coli BW25113 del-luxS,BW25113 del-luxS,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-luxS_Fed-batch_15h__2,DDB3,TF KO,Escherichia coli BW25113 del-luxS,BW25113 del-luxS,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-rpoS_Batch_9h__1,DDB3,TF KO,Escherichia coli BW25113 del-rpoS,BW25113 del-rpoS,Batch,1,max,none
DDB3__PD-006_del-rpoS_Batch_9h__2,DDB3,TF KO,Escherichia coli BW25113 del-rpoS,BW25113 del-rpoS,Batch,1,max,none
DDB3__PD-006_del-rpoS_Fed-batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-rpoS,BW25113 del-rpoS,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-rpoS_Fed-batch_6h__2,DDB3,TF KO,Escherichia coli BW25113 del-rpoS,BW25113 del-rpoS,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-rpoS_Fed-batch_6h__3,DDB3,TF KO,Escherichia coli BW25113 del-rpoS,BW25113 del-rpoS,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-rpoS_Fed-batch_15h__1,DDB3,TF KO,Escherichia coli BW25113 del-rpoS,BW25113 del-rpoS,Fed-batch,1,0.11,0.11
DDB3__PD-006_del-rpoS_Fed-batch_15h__2,DDB3,TF KO,Escherichia coli BW25113 del-rpoS,BW25113 del-rpoS,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-tnaA_Batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-tnaA,BW25113 del-tnaA,Batch,1,max,none
