Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],pyruvic acid [g/L],succinic acid [g/L],as [µg/L],cd_no_gas [µg/L],co [µg/L],cr [µg/L],cu [µg/L],fe [µg/L],mn [µg/L],mo [µg/L],ni [µg/L],pb_no_gas [µg/L],v [µg/L],zn [µg/L]
DDB_PD_036_AMBR_R19__S04,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S04,12.05133,1.0,22.92,9.77976210553077,1.07201129159662,0.0,0.0,0.0,0.601860615651165,0.0,0.0,0,0,173.1,0,155.5,5333.8,91.6,157,0,0,0,90.2
DDB_PD_036_AMBR_R19__S05,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S05,13.79183,1.0,39.95,0.0,0.539229747222057,0.0,0.0,0.0,0.0,0.0,0.0,0,0,166.5,0,115.8,4433.7,92.8,143.8,0,0,0,96
DDB_PD_036_AMBR_R19__S06,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S06,16.79398,1.0,55.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162.5,0,101.4,3502.9,90.1,125,0,0,0,93.6
DDB_PD_036_AMBR_R19__S07,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S07,20.51087,1.5,81.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,166,0,96.4,2097.8,89.1,120.7,0,0,0,70.4
DDB_PD_036_AMBR_R19__S08,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S08,22.79149,1.0,102.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,178.5,0,95.5,602.6,105.5,114.9,0,0,0,67.8
DDB_PD_036_AMBR_R19__S09,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S09,25.79297,1.0,128.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,192.2,0,94.1,131.1,109.6,76.6,0,0,0,95.6
DDB_PD_036_AMBR_R19__S10,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S10,29.94277,1.5,171.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,207.6,0,64,91.9,110.9,59.2,0,0,0,261.3
DDB_PD_036_AMBR_R19__S11,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S11,31.78554,1.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,261.5,0,93.2,126.9,119.2,63.7,0,0,0,318.2
DDB_PD_036_AMBR_R19__S12,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R19_Main_,R19,S12,34.79403,1.0,279.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,307.1,0,101.9,0,64.2,50.6,0,0,0,481.1
DDB_PD_036_AMBR_R20__S00,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S00,0.0,1.0,0.243,22.5705245511992,0.203973295310029,0.0,0.0,0.0,0.0,0.0,0.0,0,0,160.6,0,160.9,5399.1,61.5,151.7,0,0,2.9,74
DDB_PD_036_AMBR_R20__S01,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S01,3.071461,1.0,0.802,25.603778434382896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170,0,184,5963.5,66.6,172.6,0,0,0,103
DDB_PD_036_AMBR_R20__S02,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S02,6.488965,2.5,2.322,31.1026039972242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,175,6.6,227.9,6254.2,62.8,164.4,0,0,0,130.7
DDB_PD_036_AMBR_R20__S03,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S03,9.072556,1.0,6.14,20.5116386952891,0.619674286425149,0.0,0.0,0.0,0.39180491726633704,0.0,0.0,0,0,163.7,0,162.5,5541.2,70.9,158,0,0,0,74.3
DDB_PD_036_AMBR_R20__S04,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S04,12.07075,1.0,20.24,9.19329273444127,1.08940890225115,0.0,0.0,0.0,0.630226832700586,0.0,0.0,0,0,166.4,0,151.3,5096,83.9,148.9,0,0,0,71.8
DDB_PD_036_AMBR_R20__S05,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S05,14.10722,1.0,39.75,0.0,0.41083999590457604,0.0,0.0,0.0,0.0,0.0,0.0,0,0,172,0,115.1,4475.7,94.6,145.9,0,0,0,76
DDB_PD_036_AMBR_R20__S06,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S06,17.10942,1.0,54.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,163.1,0,99.5,3356.3,89.9,129.9,0,0,0,64.5
DDB_PD_036_AMBR_R20__S07,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S07,20.53721,1.5,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,165.6,0,95.9,1914.5,89.7,121,0,0,0,118.7
DDB_PD_036_AMBR_R20__S08,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S08,23.11564,1.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,181.9,0,99.8,459.9,97.1,109.1,0,0,0,72.4
DDB_PD_036_AMBR_R20__S09,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S09,26.10814,1.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,188.1,0,88.3,122.6,98.9,71.1,0,0,0,63.2
DDB_PD_036_AMBR_R20__S10,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S10,29.96931,1.5,176.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,219.8,0,62.1,0,95.1,59.1,0,0,0,257.8
DDB_PD_036_AMBR_R20__S11,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S11,32.10239,1.0,225.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,292.7,0,74.9,0,104.9,59.9,0,0,0,314.8
DDB_PD_036_AMBR_R20__S12,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R20_Main_,R20,S12,35.10847,1.0,290.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,305,0,75.3,101.1,56.7,50.7,0,0,0,363.3
DDB_PD_036_AMBR_R21__S00,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S00,0.0,1.0,0.219,23.6209099408981,0.226511536770388,0.0,0.0,0.0,0.0,0.0,0.0,0,0,78.4,0,153.9,5261.2,26.8,156.7,0,0,0,262.9
DDB_PD_036_AMBR_R21__S01,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S01,3.095249,1.0,0.708,25.66205203855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,77.1,11.3,183.1,5587.7,22.2,169.1,0,0,0,318.3
DDB_PD_036_AMBR_R21__S02,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S02,6.273763,2.5,1.986,33.1887682804772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,77.4,0,219.9,5883.6,26.1,171.2,0,0,0,316.1
DDB_PD_036_AMBR_R21__S03,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S03,9.093758,1.0,6.14,20.129712744248902,0.649522175504037,0.0,0.0,0.0,0.376987672078444,0.0,0.0,0,0,108,0,164.6,5570.8,54.1,159.5,0,0,0,256
